year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2013,159,11,0,3,6,68,8,10,0,40,0,0,0,0,1991,0,1,0
2014,159,11,0,3,7,69,8,10,0,41,0,0,0,0,1888,0,1,1
2015,159,11,0,2,7,68,8,11,0,43,0,0,0,0,2079,0,1,1
2016,159,11,0,2,7,68,8,11,0,44,0,0,1,0,2238,0,1,0
2017,159,11,0,2,8,68,8,11,0,46,0,0,0,0,4504,0,1,0
2018,159,11,0,2,8,68,8,11,0,48,0,0,0,0,4950,0,0,1
2019,159,11,0,1,8,69,8,11,0,49,0,0,0,0,5193,0,0,0
2000,160,11,0,3,5,63,8,8,0,7,0,0,0,0,,,0,1
2001,160,11,0,3,5,63,8,8,0,9,0,1,1,0,,0,0,0
2002,160,11,0,3,5,63,8,8,0,12,0,0,0,0,,0,0,1
2003,160,11,0,3,5,63,8,9,0,14,0,0,1,0,,0,0,1
2004,160,11,0,3,5,65,8,9,0,17,0,0,0,0,,0,0,0
2005,160,11,0,3,5,65,8,9,0,19,0,0,0,0,,0,0,1
2006,160,11,0,3,5,65,8,10,0,21,0,0,1,0,202,0,1,1
2007,160,11,0,2,5,65,8,10,0,26,0,0,0,0,294,0,1,0
2008,160,11,0,3,5,66,8,10,0,28,0,0,0,0,325,0,1,0
2009,160,11,0,2,5,65,8,10,0,29,0,0,0,0,393,0,1,1
2010,160,11,0,2,6,66,8,10,0,30,0,0,0,0,524,0,1,1
2011,160,11,0,2,6,66,8,10,0,32,0,0,1,0,470,0,1,0
2012,160,11,0,2,6,68,8,10,0,33,0,0,0,0,555,0,1,1
2013,160,11,0,3,6,68,8,10,0,35,0,0,0,0,643,0,1,0
2014,160,11,0,2,6,69,8,10,0,36,0,0,0,0,626,0,1,1
2015,160,11,0,2,7,68,8,10,0,38,0,0,0,0,657,0,1,0
2016,160,11,0,2,7,68,8,10,0,40,0,0,0,0,651,0,1,0
2017,160,11,0,3,8,68,8,10,0,41,0,0,1,0,3063,0,1,1
2018,160,11,0,4,8,68,8,11,0,43,0,0,0,0,3481,0,1,1
2019,160,11,0,4,8,69,8,11,0,44,0,0,0,0,3437,0,1,1
2000,161,10,0,1,5,64,8,8,0,9,0,0,1,0,,,0,0
2001,161,10,0,1,4,64,8,8,0,11,0,0,0,0,,0,0,1
2002,161,11,0,1,4,64,8,8,0,13,0,0,0,0,,0,0,0
2003,161,11,0,1,5,64,8,9,0,15,0,0,0,0,,0,0,1
2004,161,11,0,1,5,66,8,9,0,17,0,0,1,0,,0,0,0
2005,161,11,0,1,5,66,8,9,0,19,0,0,0,0,,0,0,0
2006,161,11,0,1,5,66,8,9,0,21,0,0,0,0,734,0,0,0
2007,161,11,0,1,5,66,8,9,0,26,0,0,0,0,780,0,1,1
2008,161,11,0,1,6,67,8,10,0,28,0,0,1,0,771,0,0,0
2009,161,11,0,1,6,67,8,10,0,29,0,0,0,0,958,0,1,1
2010,161,11,0,1,6,67,8,10,0,30,0,0,0,0,1039,0,1,1
2011,161,11,0,1,6,68,8,10,0,32,0,0,1,0,1133,0,1,1
2012,161,11,0,1,6,68,8,10,0,33,0,0,0,0,1456,0,1,1
2013,161,11,0,2,7,69,8,10,0,35,0,0,1,0,1573,0,1,0
2014,161,11,0,1,7,69,8,10,0,37,0,0,1,0,1707,0,1,1
2015,161,11,0,2,7,68,8,10,0,39,0,0,0,0,1774,0,1,1
2016,161,11,0,2,7,68,8,10,0,41,0,0,0,0,1628,0,1,1
2017,161,11,0,1,8,69,8,10,0,43,0,0,1,0,4503,0,1,1
2018,161,11,0,1,8,69,8,10,0,44,0,0,0,0,5061,0,1,0
2019,161,11,0,2,8,70,8,10,0,45,0,0,0,0,5076,0,1,0
2000,162,11,0,15,7,89,9,11,0,58,0,0,0,0,,,0,0
2001,162,10,0,13,7,89,9,11,0,59,0,0,0,0,,0,0,1
2002,162,11,0,12,8,89,9,11,0,60,0,0,1,0,,0,0,0
2003,162,11,0,16,8,88,9,11,0,61,0,0,0,0,,0,0,1
2004,162,11,0,19,8,88,9,11,0,62,0,0,0,0,,0,0,0
2005,162,11,0,22,8,89,9,11,0,63,0,0,1,0,,0,0,0
2006,162,11,0,23,8,89,9,11,0,63,0,0,0,0,2901,0,1,1
2007,162,11,0,23,9,89,9,11,0,64,0,0,0,0,3439,0,1,1
2008,162,11,0,24,9,91,10,11,0,65,0,0,1,0,3406,0,0,0
2009,162,11,0,17,9,91,10,11,0,65,0,0,0,0,3734,0,1,1
2010,162,11,0,22,9,92,10,11,0,77,0,0,0,0,4480,0,1,1
2011,162,11,0,22,9,93,10,11,0,66,0,0,1,0,4596,0,1,0
2012,162,11,0,17,10,94,10,11,0,68,0,0,0,0,4594,0,1,1
2013,162,11,0,15,10,95,10,11,0,68,1,0,0,0,4887,0,1,1
2014,162,11,0,16,10,96,10,12,0,71,1,0,0,0,4740,0,1,0
2015,162,11,0,17,10,95,10,12,0,72,1,0,0,0,5098,0,1,1
2016,162,11,0,14,11,95,10,11,0,80,1,0,1,0,5548,0,1,0
2017,162,11,0,14,11,95,10,11,0,80,1,0,0,0,6204,0,1,1
2018,162,11,0,15,11,96,10,11,0,80,1,0,1,0,6543,0,0,0
2019,162,11,0,15,11,96,10,11,0,80,1,0,0,0,7156,0,1,1
2000,163,11,1,13,5,77,9,8,0,51,0,1,0,0,,,0,0
2001,163,11,1,14,5,77,9,8,0,52,0,1,0,0,,0,0,1
2002,163,11,1,14,5,78,9,8,0,52,0,1,0,0,,0,0,0
2003,163,11,1,15,5,78,9,8,0,52,0,1,1,0,,0,0,1
2004,163,11,1,16,5,78,9,9,0,52,0,1,0,0,,0,0,0
2005,163,11,1,18,5,77,9,9,0,50,0,1,0,0,,0,1,0
2006,163,11,1,21,6,78,9,9,0,50,0,1,0,0,4435,0,1,0
2007,163,11,1,20,5,78,9,9,0,50,0,1,0,0,4816,0,1,1
2008,163,11,1,18,6,79,9,9,0,50,0,1,1,0,4155,0,1,0
2009,163,11,1,14,6,78,9,9,0,51,0,1,0,0,4379,0,1,0
2010,163,11,1,14,7,79,9,9,0,57,0,1,0,0,5303,0,1,0
2011,163,11,1,15,7,81,9,10,0,59,0,0,0,0,4997,0,1,0
2012,163,11,1,13,7,81,9,10,0,60,0,0,1,0,4772,0,1,0
2013,163,11,1,15,7,81,9,10,0,60,0,0,0,0,5179,0,1,0
2014,163,11,1,14,7,81,9,10,0,61,0,0,0,0,5308,0,1,0
2015,163,11,1,16,8,80,9,10,0,61,0,0,0,0,5643,0,1,1
2016,163,11,1,13,8,79,9,10,0,62,0,0,0,0,6004,0,1,0
2017,163,11,1,15,8,80,9,10,0,63,0,0,1,0,9077,0,1,1
2018,163,11,1,16,9,80,9,10,0,63,0,0,1,0,10051,0,1,0
2019,163,11,1,16,9,81,9,10,0,64,0,0,0,0,10747,0,1,1
2000,164,11,0,2,4,74,9,8,0,39,0,0,0,0,,,0,0
2001,164,10,0,2,5,74,9,8,0,39,0,0,0,0,,0,0,1
2002,164,11,1,2,5,75,9,8,0,39,0,0,1,0,,0,0,1
2003,164,11,0,2,5,75,9,8,0,39,0,0,0,0,,0,0,1
2004,164,11,1,3,5,75,9,9,0,39,0,0,0,0,,0,0,0
2005,164,11,0,3,5,75,9,9,0,39,0,0,0,0,,0,0,1
2006,164,11,0,1,5,75,9,9,0,39,0,0,0,0,2615,0,0,0
2007,164,11,0,2,6,76,9,9,0,39,0,0,0,0,1486,0,0,1
2008,164,11,0,2,6,77,9,9,0,40,0,0,1,0,1848,0,0,1
2009,164,11,0,3,6,76,9,9,0,41,0,0,0,0,1796,0,1,1
2010,164,11,1,2,6,79,9,9,0,46,0,0,0,0,2096,0,1,1
2011,164,11,1,2,7,79,9,10,0,48,0,0,0,0,2008,0,1,0
2012,164,11,1,3,7,80,9,10,0,50,0,0,1,0,1952,0,1,0
2013,164,11,1,3,7,81,9,10,0,50,0,0,0,0,1851,0,1,0
2014,164,11,1,3,7,81,9,10,0,52,0,0,0,0,2065,0,1,1
2015,164,11,0,3,8,81,9,10,0,53,0,0,0,0,2022,0,1,1
2016,164,11,0,3,8,81,9,10,0,54,0,0,1,0,2338,0,0,0
2017,164,11,0,2,8,82,9,10,0,55,0,0,0,0,4476,0,0,1
2018,164,11,0,2,8,83,9,10,0,56,0,0,0,0,4447,0,0,1
2019,164,11,0,2,9,83,9,10,0,57,0,0,0,0,4636,0,0,1
2000,165,11,1,4,5,84,9,10,0,38,0,0,0,0,,,0,0
2001,165,11,1,4,5,84,9,10,0,39,0,0,0,0,,0,0,0
2002,165,11,1,5,6,84,9,10,0,39,0,0,1,0,,0,0,1
2003,165,11,1,5,6,84,9,10,0,40,0,0,1,0,,0,0,1
2004,165,11,1,6,6,84,9,10,0,40,0,0,0,0,,0,0,1
2005,165,11,1,6,6,83,9,10,0,41,0,1,0,0,,0,1,0
2006,165,11,1,6,6,83,9,10,0,43,0,1,0,0,1777,0,1,1
2007,165,11,1,8,6,83,9,10,0,44,0,0,0,0,2103,0,1,1
2008,165,11,1,9,7,85,9,10,0,46,0,0,1,0,2032,0,1,1
2009,165,11,1,6,7,86,9,10,0,48,0,0,0,0,2104,0,1,0
2010,165,11,1,8,7,87,9,10,0,50,0,0,0,0,2518,0,1,0
2011,165,11,1,7,8,91,10,10,0,52,0,0,0,0,2238,0,1,1
2012,165,11,1,5,8,91,10,11,0,54,0,0,1,0,2089,0,0,0
2013,165,11,1,5,8,91,10,11,0,55,0,0,0,0,2081,0,1,1
2014,165,11,1,5,8,92,10,11,0,56,0,0,0,0,1926,0,0,0
2015,165,11,1,6,9,92,10,11,0,57,0,0,0,0,2036,0,0,1
2016,165,11,1,5,9,92,10,11,0,58,0,0,1,0,1967,0,0,0
2017,165,11,1,5,9,92,10,11,0,60,0,0,0,0,5071,0,0,1
2018,165,11,1,5,9,92,10,10,0,61,0,0,0,0,5431,0,0,0
2019,165,11,0,6,9,92,10,10,0,62,0,0,0,0,5519,0,0,1
2000,166,10,0,1,5,83,9,9,0,40,0,0,0,0,,,0,0
2001,166,10,0,1,5,83,9,9,0,39,0,0,0,0,,0,0,1
2002,166,10,0,2,5,82,9,9,0,38,0,0,1,0,,0,0,0
2003,166,11,0,2,6,82,9,9,0,37,0,0,0,0,,0,0,1
2004,166,11,0,3,6,82,9,9,0,36,0,0,1,0,,0,0,1
2005,166,11,0,4,6,80,9,9,0,34,0,0,0,0,,0,1,1
2006,166,11,0,4,6,81,9,10,0,34,0,0,0,0,811,0,1,1
2007,166,11,0,4,7,81,9,10,0,33,0,0,0,0,857,0,1,1
2008,166,11,0,4,7,83,9,10,0,49,0,0,1,0,943,0,0,0
2009,166,11,0,2,7,84,9,10,0,50,0,0,0,0,1041,0,1,0
2010,166,11,1,3,7,85,9,10,0,50,0,0,1,0,1125,0,1,1
2011,166,11,1,3,8,89,9,11,0,52,0,0,1,0,1054,0,0,0
2012,166,11,1,3,8,89,9,11,0,54,0,0,0,0,1126,0,0,0
2013,166,11,1,4,8,89,9,11,0,55,0,0,1,0,1310,0,0,1
2014,166,11,1,4,8,89,9,11,0,56,0,0,0,0,1391,0,0,0
2015,166,11,1,5,9,89,9,11,0,57,0,0,0,0,1407,0,0,1
2016,166,11,1,4,9,89,9,11,0,58,0,0,1,0,1546,0,0,1
2017,166,11,1,4,9,90,9,11,0,60,0,0,1,0,2726,0,0,0
2018,166,11,1,5,9,89,9,11,0,61,0,0,0,0,3077,0,0,1
2019,166,11,0,5,9,90,9,11,0,62,0,0,0,0,3181,0,0,1
2000,167,10,1,8,4,88,9,8,0,47,0,0,0,0,,,0,0
2001,167,10,1,7,3,88,9,8,0,48,0,0,1,0,,0,0,0
2002,167,11,1,7,3,88,9,8,0,49,0,0,0,0,,0,0,1
2003,167,11,1,6,3,89,9,8,0,50,0,0,0,0,,0,0,1
2004,167,11,1,7,4,89,9,8,0,51,0,0,1,0,,0,0,1
2005,167,11,0,7,4,87,9,8,0,52,0,0,0,0,,0,1,0
2006,167,11,1,7,5,87,9,9,0,55,0,0,1,0,3615,0,1,1
2007,167,11,1,6,5,88,9,9,0,56,0,0,1,0,3727,0,1,0
2008,167,11,1,4,5,90,10,9,0,56,0,0,0,0,3361,0,1,0
2009,167,11,1,4,5,91,10,9,0,57,0,0,1,0,3508,0,1,1
2010,167,11,1,3,5,92,10,9,0,58,0,0,0,0,4634,0,1,1
2011,167,11,1,4,5,93,10,9,0,60,0,0,1,0,4605,0,1,0
2012,167,11,1,5,6,93,10,10,0,62,0,0,0,0,4276,0,1,1
2013,167,11,1,5,6,94,10,10,0,63,0,0,1,0,4450,0,1,0
2014,167,11,1,5,6,94,10,10,0,64,0,0,0,0,4872,0,1,1
2015,167,11,1,5,7,93,10,10,0,64,0,0,0,0,4859,0,1,0
2016,167,11,1,4,7,93,10,10,0,65,0,0,0,0,5119,0,1,1
2017,167,11,1,4,7,94,10,10,0,65,0,0,0,0,4550,0,1,0
2018,167,11,1,4,7,95,10,10,0,66,0,0,1,0,4862,0,1,1
2019,167,11,0,4,7,96,10,10,0,66,0,0,0,0,5141,0,1,0
2000,168,10,0,4,4,85,9,9,0,26,0,0,0,0,,,0,0
2001,168,10,0,3,4,86,9,9,0,28,0,0,0,0,,0,0,1
2002,168,10,0,3,5,85,9,9,0,30,0,0,1,0,,0,0,0
2003,168,10,0,3,5,86,9,9,0,32,0,0,0,0,,0,0,0
2004,168,10,0,3,5,87,9,9,0,34,0,0,0,0,,0,0,0
2005,168,11,0,3,5,81,9,9,0,36,0,0,0,0,,1,0,1
2006,168,11,0,3,5,81,9,9,0,39,0,0,1,0,1200,0,0,0
2007,168,11,0,4,5,82,9,9,0,41,0,0,0,0,1443,0,0,0
2008,168,11,0,4,5,84,9,9,0,43,0,0,0,0,1530,0,0,1
2009,168,11,0,3,6,84,9,10,0,44,0,0,0,0,1336,0,1,1
2010,168,11,0,4,6,85,9,10,0,45,0,0,1,0,1271,0,0,0
2011,168,11,1,4,6,87,9,10,0,48,0,0,0,0,1639,0,0,1
2012,168,11,1,4,7,87,9,10,0,50,0,0,0,0,1676,0,0,1
2013,168,11,1,4,7,87,9,10,0,51,0,0,1,0,1640,0,0,0
2014,168,11,1,5,7,87,9,10,0,53,0,0,0,0,1900,0,0,0
2015,168,11,1,5,7,87,9,10,0,54,0,0,1,0,2215,0,0,1
2016,168,11,1,5,8,87,9,10,0,56,0,0,0,0,2286,0,0,1
2017,168,11,1,5,8,87,9,11,0,58,0,0,1,0,3828,0,0,1
2018,168,11,1,6,8,88,9,11,0,59,0,0,0,0,4037,0,0,0
2019,168,11,0,7,8,89,9,11,0,60,0,0,0,0,4352,0,0,1
2000,169,10,0,1,4,77,9,9,0,18,0,0,0,0,,,0,0
2001,169,10,0,1,4,77,9,9,0,21,0,0,0,0,,0,0,1
2002,169,10,0,1,4,77,9,9,0,24,0,0,1,0,,0,0,0
2003,169,10,0,2,4,77,9,9,0,27,0,0,0,0,,0,0,1
2004,169,11,0,3,4,77,9,9,0,30,0,0,0,0,,0,0,0
2005,169,11,0,3,5,74,9,9,0,33,0,0,0,0,,0,1,1
2006,169,11,0,4,5,74,9,9,0,36,0,0,1,0,327,0,1,0
2007,169,11,0,5,5,75,9,9,0,38,0,0,0,0,343,0,1,0
2008,169,11,0,4,6,76,9,10,0,44,0,0,0,0,344,0,1,1
2009,169,11,0,2,6,76,9,10,0,45,0,0,0,0,209,0,1,0
2010,169,11,0,3,6,76,9,10,0,46,0,0,0,0,430,0,1,0
2011,169,11,0,3,7,77,9,10,0,48,0,0,0,0,535,0,1,1
2012,169,11,0,4,7,78,9,10,0,50,0,0,1,0,611,0,1,1
2013,169,11,0,5,7,78,9,10,0,51,0,0,0,0,679,0,1,0
2014,169,11,0,5,7,78,9,11,0,52,0,0,0,0,863,0,1,1
2015,169,11,0,5,8,77,9,11,0,54,0,0,0,0,920,0,1,0
2016,169,11,0,5,8,78,9,11,0,55,0,0,0,0,1109,0,1,0
2017,169,11,0,4,9,78,9,11,0,56,0,0,1,0,4428,0,1,1
2018,169,11,0,5,9,79,9,11,0,58,0,0,0,0,4776,0,1,1
2019,169,11,0,5,8,81,9,11,0,58,0,0,0,0,4725,0,1,1
2000,170,10,0,2,5,72,9,9,0,38,0,0,0,0,,,0,0
2001,170,10,0,3,5,72,9,9,0,37,0,0,0,0,,0,0,0
2002,170,10,0,4,5,72,9,9,0,37,0,0,0,0,,0,0,0
2003,170,11,0,4,5,72,9,9,0,37,0,0,1,0,,0,0,0
2004,170,11,0,5,5,73,9,9,0,36,0,0,0,0,,0,0,1
2005,170,11,0,7,6,70,8,9,0,36,0,0,0,0,,0,0,0
2006,170,11,0,7,5,70,8,9,0,35,0,0,1,0,1451,0,1,1
2007,170,11,0,8,6,71,8,9,0,35,0,0,0,0,1818,0,1,0
2008,170,11,0,8,6,72,8,10,0,37,0,0,0,0,1936,0,1,0
2009,170,11,0,6,6,72,8,10,0,40,0,0,0,0,1295,0,1,0
2010,170,11,0,6,6,73,9,10,0,42,0,0,0,0,1350,0,1,1
2011,170,11,0,6,6,74,9,10,0,44,0,0,1,0,1355,0,1,1
2012,170,11,0,6,7,75,9,10,0,46,0,0,0,0,1837,0,1,1
2013,170,11,0,6,7,75,9,11,0,48,0,0,0,0,1751,0,1,0
2014,170,11,0,7,7,75,9,11,0,49,0,0,0,0,1858,0,1,0
2015,170,11,0,5,8,75,9,11,0,51,0,0,0,0,2089,0,1,1
2016,170,11,0,5,8,76,9,11,0,53,0,0,0,0,2178,0,0,0
2017,170,11,0,5,8,76,9,11,0,55,0,0,1,0,4138,0,1,1
2018,170,11,0,6,8,76,9,11,0,56,0,0,1,0,4721,0,1,0
2019,170,11,0,5,9,79,9,11,0,56,0,0,0,0,4563,0,1,1
2000,171,10,0,2,4,72,8,9,0,111,0,0,0,0,,,0,0
2001,171,10,0,2,3,72,8,9,0,98,0,0,0,0,,0,0,1
2002,171,10,0,3,4,72,8,9,0,85,0,0,1,0,,0,0,0
2003,171,11,0,3,4,72,8,9,0,72,0,0,0,0,,0,0,1
2004,171,11,0,3,4,72,8,9,0,59,0,0,0,0,,0,0,0
2005,171,11,0,4,4,67,8,9,0,50,0,1,0,0,,1,1,1
2006,171,11,0,5,5,67,8,9,0,36,0,1,1,0,303,0,1,0
2007,171,11,0,6,5,68,8,10,0,23,0,1,0,0,303,0,1,1
2008,171,11,0,6,6,70,8,10,0,23,0,1,0,0,288,0,1,1
2009,171,11,0,4,6,71,8,10,0,34,0,0,0,0,286,0,1,0
2010,171,11,0,2,6,71,8,10,0,35,0,0,0,0,294,0,1,1
2011,171,11,0,2,6,72,8,10,0,36,0,0,0,0,328,0,1,0
2012,171,11,0,2,7,73,9,10,0,39,0,0,0,0,357,0,1,0
2013,171,11,0,2,7,73,9,11,0,41,0,0,1,0,393,0,1,1
2014,171,11,0,3,7,73,9,11,0,42,0,0,0,0,399,0,1,0
2015,171,11,0,3,7,73,9,11,0,43,0,0,0,0,623,0,1,0
2016,171,11,0,3,8,73,9,11,0,45,0,0,0,0,584,0,1,0
2017,171,11,0,3,8,74,9,11,0,46,0,0,0,0,3507,0,1,0
2018,171,11,0,3,8,73,9,11,0,47,0,0,1,0,4058,0,1,1
2019,171,11,0,3,9,75,9,11,0,47,0,0,0,0,4363,0,1,0
2000,172,11,0,2,3,69,8,8,0,-4,0,1,0,0,,,0,1
2001,172,11,0,2,3,69,8,8,0,3,0,1,0,0,,0,0,0
2002,172,11,0,2,4,69,8,8,0,11,0,1,0,0,,0,0,0
2003,172,11,0,2,4,69,8,8,0,18,0,1,0,0,,0,0,1
2004,172,11,0,2,4,70,8,8,0,25,0,1,0,0,,0,0,1
2005,172,11,0,2,4,68,8,8,0,32,0,1,0,0,,0,1,1
2006,172,11,0,3,5,68,8,8,0,39,0,1,1,0,812,0,1,0
2007,172,11,0,3,5,69,8,9,0,46,0,1,0,0,1206,0,1,1
2008,172,11,0,3,5,70,8,9,0,42,0,1,1,0,984,0,1,1
2009,172,11,0,2,5,69,8,9,0,43,0,1,0,0,1349,0,1,0
2010,172,11,0,2,6,71,8,9,0,43,0,1,0,0,2411,0,1,1
2011,172,11,0,3,6,72,8,9,0,45,0,1,0,0,943,0,1,1
2012,172,11,0,2,6,73,9,10,0,46,0,1,1,0,1478,0,1,0
2013,172,11,0,3,6,73,9,10,0,48,0,0,0,0,1858,0,1,0
2014,172,11,0,3,7,73,9,10,0,49,0,0,0,0,2139,0,1,1
2015,172,11,0,3,7,73,9,10,0,50,0,0,1,0,2175,0,1,0
2016,172,11,0,3,8,73,9,10,0,51,0,0,1,0,2465,0,1,1
2017,172,11,0,3,8,73,9,10,0,52,0,0,0,0,6777,0,1,0
2018,172,11,0,3,8,73,9,10,0,54,0,0,0,0,8136,0,1,1
2019,172,11,0,3,8,75,9,10,0,54,0,0,1,0,8311,0,1,0
2000,173,10,0,0,3,69,8,8,0,27,0,0,1,0,,,0,0
2001,173,10,0,0,3,69,8,8,0,28,0,0,0,0,,0,0,0
2002,173,11,0,2,3,69,8,8,0,29,0,0,1,0,,0,0,1
2003,173,11,0,3,4,69,8,8,0,30,0,0,0,0,,0,0,0
2004,173,11,0,4,4,70,8,8,0,31,0,0,0,0,,0,0,1
2005,173,11,0,6,4,69,8,8,0,31,0,0,0,0,,0,1,1
2006,173,11,0,6,5,69,8,8,0,33,0,0,1,0,1093,0,1,0
2007,173,11,0,6,5,70,8,8,0,34,0,0,0,0,1221,0,0,0
2008,173,11,0,8,5,71,8,9,0,36,0,0,0,0,1277,0,1,1
2009,173,11,0,11,5,70,8,9,0,37,0,0,0,0,1476,0,1,0
2010,173,11,0,13,5,70,8,9,0,38,0,1,1,0,1843,0,1,1
2011,173,11,0,12,6,72,9,9,0,40,0,1,0,0,1445,0,1,0
2012,173,11,0,9,6,73,9,9,0,43,0,0,1,0,1158,0,1,1
2013,173,11,0,12,6,73,9,9,0,45,0,0,0,0,1303,0,1,0
2014,173,11,0,12,6,73,9,10,0,47,0,0,0,0,1449,0,1,1
2015,173,11,0,12,7,73,9,10,0,48,0,0,0,0,1523,0,1,1
2016,173,11,0,11,7,73,9,10,0,49,0,0,0,0,1818,0,1,0
2017,173,11,0,9,7,74,9,10,0,51,0,0,1,0,4011,0,1,0
2018,173,11,0,7,7,74,9,10,0,52,0,0,1,0,4538,0,1,0
2019,173,11,0,5,7,75,9,10,0,53,0,0,0,0,4647,0,1,1
2000,174,10,0,19,7,85,9,10,0,42,0,0,0,0,,,0,0
2001,174,10,0,17,7,84,9,10,0,45,0,0,1,0,,0,0,1
2002,174,10,0,15,7,84,9,10,0,47,0,0,0,0,,0,0,1
2003,174,11,0,16,8,84,9,10,0,49,0,0,0,0,,0,0,0
2004,174,11,0,16,8,84,9,10,0,51,0,0,0,0,,0,0,1
2005,174,11,0,14,8,85,9,10,0,54,0,0,0,0,,0,0,0
2006,174,11,0,12,8,86,9,11,0,56,0,0,1,0,1569,0,0,1
2007,174,11,0,12,8,88,9,11,0,60,0,0,0,0,1578,0,0,0
2008,174,11,0,11,8,90,9,11,0,61,0,0,0,0,1604,0,0,1
2009,174,11,0,8,9,89,9,11,0,63,0,0,0,0,1887,0,1,0
2010,174,11,0,9,9,91,10,11,0,68,0,0,0,0,2071,0,1,1
2011,174,11,0,9,9,92,10,11,0,68,0,0,0,0,2362,0,1,0
2012,174,11,0,9,9,92,10,11,0,69,0,0,0,0,2666,0,1,0
2013,174,11,0,9,9,92,10,11,0,71,0,0,1,0,2919,0,1,0
2014,174,11,0,10,10,91,10,11,0,72,0,0,0,0,3203,0,1,1
2015,174,11,0,10,10,91,10,11,0,74,0,0,0,0,3383,0,1,1
2016,174,11,0,9,10,91,10,11,0,76,0,0,0,0,3453,0,1,0
2017,174,11,0,9,10,90,10,11,0,78,1,0,1,0,5303,0,1,0
2018,174,11,0,13,11,89,9,11,0,79,1,0,0,0,6350,0,1,0
2019,174,11,0,18,11,89,9,11,0,80,1,0,0,0,6576,0,1,0
2000,175,10,0,12,6,77,9,8,0,39,0,0,1,0,,,0,0
2001,175,10,0,12,6,77,9,8,0,39,0,0,0,0,,0,0,1
2002,175,10,0,11,6,77,9,8,0,40,0,0,0,0,,0,0,1
2003,175,10,0,12,6,77,9,9,0,41,0,0,1,0,,0,0,1
2004,175,10,0,11,6,78,9,9,0,42,0,0,0,0,,0,0,1
2005,175,11,1,11,7,78,9,9,0,43,0,0,0,0,,0,0,0
2006,175,11,1,12,7,79,9,9,0,46,0,0,0,0,2398,0,0,0
2007,175,11,1,10,7,80,9,9,0,47,0,0,0,0,2546,0,0,1
2008,175,11,1,9,7,81,9,9,0,49,0,0,1,0,2695,0,0,1
2009,175,11,1,8,7,81,9,10,0,50,0,0,0,0,2923,0,0,0
2010,175,11,1,8,7,82,9,10,0,55,0,0,0,0,3055,0,0,0
2011,175,11,1,8,8,83,9,10,0,57,0,0,0,0,3192,0,1,1
2012,175,11,1,8,8,83,9,10,0,59,0,0,0,0,3361,0,1,1
2013,175,11,1,8,8,83,9,10,0,60,0,0,1,0,3682,0,1,0
2014,175,11,1,8,8,81,9,10,0,61,0,0,0,0,3766,0,1,0
2015,175,11,1,7,8,82,9,10,0,62,0,0,0,0,3683,0,1,0
2016,175,11,1,5,9,82,9,10,0,64,0,0,1,0,3255,0,1,1
2017,175,11,0,6,9,81,9,10,0,66,1,0,0,0,5198,0,1,0
2018,175,11,0,7,9,80,9,10,0,67,1,0,0,0,5777,0,1,0
2019,175,11,0,7,9,81,9,10,0,68,1,0,0,0,5279,0,1,1
2000,176,10,0,21,5,79,9,8,0,36,0,0,0,0,,,0,1
2001,176,10,0,20,5,78,9,8,0,37,0,0,0,0,,0,0,0
2002,176,10,0,19,6,78,9,8,0,38,0,0,0,0,,0,0,1
2003,176,11,0,19,6,76,9,9,0,40,0,0,1,0,,0,0,1
2004,176,11,0,17,6,78,9,9,0,41,0,0,0,0,,0,0,0
2005,176,11,0,15,6,77,9,9,0,42,0,0,0,0,,0,0,1
2006,176,11,0,18,6,77,9,9,0,46,0,0,1,0,61773,0,1,1
2007,176,11,0,18,6,78,9,9,0,47,0,0,0,0,9194,0,1,0
2008,176,11,1,19,7,80,9,9,0,49,0,0,0,0,9761,0,0,0
2009,176,11,1,13,7,80,9,10,0,50,0,0,0,0,10845,0,1,1
2010,176,11,1,16,7,81,9,10,0,50,0,0,1,0,10878,0,1,0
2011,176,11,1,14,7,83,9,10,0,52,0,0,0,0,9753,0,1,0
2012,176,11,1,10,8,83,9,10,0,54,0,0,0,0,10164,0,1,1
2013,176,11,1,11,8,83,9,10,0,55,0,0,0,0,11061,0,1,0
2014,176,11,1,9,8,83,9,10,0,57,0,0,0,0,11390,0,1,0
2015,176,11,1,8,8,83,9,10,0,58,0,0,0,0,11617,0,1,0
2016,176,11,1,8,8,83,9,10,0,60,0,0,1,0,11674,0,1,0
2017,176,11,0,9,8,83,9,10,0,62,1,0,0,0,6124,0,1,1
2018,176,11,0,11,8,83,9,10,0,63,1,0,0,0,6691,0,1,0
2019,176,11,0,11,9,82,9,10,0,64,1,1,0,0,7260,0,1,1
2000,177,10,0,2,5,70,8,9,0,21,0,0,0,0,,,0,0
2001,177,10,0,2,5,70,8,9,0,24,0,0,1,0,,0,0,1
2002,177,10,0,2,5,70,8,9,0,26,0,0,0,0,,0,0,1
2003,177,10,0,3,5,69,8,9,0,29,0,0,0,0,,0,0,1
2004,177,10,0,4,5,71,8,9,0,32,0,0,0,0,,0,0,0
