year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2009,181,11,0,1,5,68,8,8,0,39,0,0,0,0,2190,0,1,0
2010,181,11,0,1,5,69,8,8,0,36,0,0,0,0,1551,0,1,0
2011,181,11,0,1,5,70,8,8,0,39,0,0,0,0,1555,0,1,0
2012,181,11,0,1,5,70,8,8,0,41,0,0,0,0,1830,0,1,1
2013,181,11,0,1,5,70,8,8,0,42,0,0,1,0,1940,0,1,0
2014,181,11,0,1,6,70,8,8,0,43,0,0,0,0,1910,0,1,1
2015,181,11,0,1,6,71,8,9,0,45,0,0,0,0,2135,0,1,1
2016,181,11,0,1,6,71,8,8,0,46,0,0,1,0,2392,0,1,0
2017,181,11,0,1,6,71,8,9,0,48,0,0,0,0,4262,0,1,0
2018,181,11,0,1,7,71,8,9,0,49,0,0,0,0,4897,0,1,1
2019,181,11,0,2,7,69,8,9,0,50,0,0,0,0,5948,0,1,1
2000,182,10,0,0,5,70,8,8,0,28,0,0,0,0,,,0,0
2001,182,10,0,0,5,70,8,8,0,29,0,0,0,0,,0,0,0
2002,182,10,0,1,5,70,8,8,0,29,0,0,0,0,,0,0,1
2003,182,10,0,1,5,69,8,8,0,29,0,0,1,0,,0,0,1
2004,182,10,0,4,5,70,8,9,0,30,0,0,0,0,,0,0,0
2005,182,10,0,2,5,69,8,9,0,32,0,0,0,0,,0,0,0
2006,182,10,0,4,5,69,8,9,0,35,0,0,0,0,769,0,0,1
2007,182,10,0,4,5,70,8,9,0,38,0,0,0,0,755,0,0,1
2008,182,10,0,3,6,71,8,9,0,40,0,0,1,0,825,0,0,1
2009,182,10,0,3,6,72,8,10,0,42,0,0,0,0,946,0,0,0
2010,182,11,0,3,6,72,9,10,0,40,0,0,0,0,1107,0,0,1
2011,182,11,0,3,7,74,9,10,0,41,0,0,0,0,1119,0,0,0
2012,182,11,0,2,7,74,9,10,0,42,0,0,0,0,1219,0,0,1
2013,182,11,0,3,7,74,9,10,0,43,0,0,1,0,1339,0,0,0
2014,182,11,0,3,7,74,9,10,0,45,0,0,0,0,1420,0,0,0
2015,182,11,0,3,7,74,9,10,0,46,0,0,1,0,1346,0,0,1
2016,182,11,0,3,8,75,9,10,0,48,0,0,1,0,1349,0,0,1
2017,182,11,0,3,8,75,9,10,0,50,0,0,0,0,3693,0,0,0
2018,182,11,0,5,8,75,9,10,0,52,0,0,0,0,4017,0,0,0
2019,182,11,0,8,8,74,9,10,0,53,0,0,0,0,4512,0,0,0
2000,183,11,0,2,5,72,8,9,0,25,0,1,0,0,,,0,1
2001,183,11,0,3,5,70,8,9,0,28,0,1,0,0,,0,0,0
2002,183,11,0,3,5,70,8,9,0,30,0,1,0,0,,0,1,1
2003,183,11,0,3,5,71,8,9,0,32,0,1,0,0,,0,1,1
2004,183,11,0,7,5,72,8,9,0,34,0,1,0,0,,0,1,0
2005,183,11,0,7,5,73,9,9,0,37,0,1,0,0,,0,1,1
2006,183,11,0,4,5,74,9,9,0,39,0,1,1,0,1092,0,1,0
2007,183,11,0,5,6,75,9,9,0,40,0,1,0,0,1284,0,1,1
2008,183,11,0,5,6,75,9,9,0,41,0,1,1,0,1286,0,1,0
2009,183,11,0,4,6,75,9,10,0,42,0,1,0,0,1459,0,1,1
2010,183,11,1,6,6,76,9,10,0,42,0,1,0,0,1458,0,1,0
2011,183,11,1,7,6,77,9,10,0,43,0,1,1,0,1424,0,1,0
2012,183,11,1,12,7,77,9,10,0,45,0,1,0,0,1520,0,1,1
2013,183,12,1,14,7,77,9,10,0,47,0,1,0,0,1604,0,1,0
2014,183,12,1,15,7,77,9,10,0,49,0,1,0,0,1549,0,1,0
2015,183,11,1,9,7,76,9,10,0,50,0,1,1,0,1639,0,1,0
2016,183,11,1,9,7,76,9,10,0,52,0,1,0,0,1725,0,1,1
2017,183,12,0,12,8,75,9,11,0,54,1,1,0,0,4936,0,1,1
2018,183,12,0,14,8,75,9,11,0,55,1,1,0,0,5345,0,1,0
2019,183,12,0,13,8,74,9,11,0,56,1,1,0,0,5912,0,1,1
2000,184,10,0,4,4,69,8,8,0,21,0,0,1,0,,,0,0
