year,citycode,lnCI,education,major,tenure,age,hometown,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,pressure,EI,CI_ratio,d1,d2
2018,445300,11.162292,2,1,1,55,1,0.31605971,13.120209,7.3231707,70.32188818,8.3858147,8.5637188,0.19947764,42.241482,0,0,1,1,6801,0,1,0
2019,445300,11.110337,2,1,2,56,1,0.32043758,11.771811,7.5087872,70.90293744,8.4203882,8.6090183,0.20529862,42.920006,0,0,0,1,7220,0,1,0
2000,450100,10.472401,3,1,3,44,0,0.27879795,14.49218,5.749393,72.98050653,8.5428629,9.1700048,0.12849212,25.24,0,0,0,0,,,0,1
2001,450100,10.433371,2,1,1,45,0,0.27061945,10.635106,5.872118,73.14588914,8.552537,9.1559496,0.13376379,25.28,0,0,1,0,,0,0,1
2002,450100,10.527151,2,1,2,46,0,0.2710841,9.7634287,5.8406415,72.99153749,8.5435085,9.2339487,0.1437059,25.43,0,0,0,0,,0,0,0
2003,450100,10.672253,3,1,3,47,0,0.29197884,10.436226,5.9584246,73.07217459,8.5482264,9.3987913,0.21837163,45.639511,0,0,0,0,,0,0,1
2004,450100,10.725159,3,1,4,48,0,0.31234196,8.5103235,6.0038872,73.68812739,8.5841789,9.5971594,0.21747386,45.98957,0,0,0,0,,0,0,0
2005,450100,10.839319,1,1,1,51,0,0.31763276,7.9732652,5.9215784,74.027947,8.6039495,9.7942743,0.2079863,47.563847,0,0,1,0,,0,0,1
2006,450100,10.928618,1,1,2,52,0,0.33780792,8.2383356,6.1377273,74.30398624,8.619976,9.8479147,0.20941658,48.716772,0,0,0,0,2204,0,1,1
2007,450100,10.94416,1,1,3,53,0,0.341824,8.6249533,6.3784261,74.91687875,8.6554537,9.9127741,0.20207188,50.401193,0,0,0,0,2430,0,0,0
2008,450100,10.949488,1,1,1,57,0,0.34680697,9.6824226,6.6106958,75.67342045,8.6990471,9.9889526,0.20996168,50.408257,0,0,1,0,2533,0,1,1
2009,450100,11.037942,1,1,2,58,0,0.34593856,12.484018,6.8855095,75.57393433,8.693327,10.257394,0.20167649,51.492942,0,0,0,0,2780,0,0,0
2010,450100,11.114362,1,1,3,59,0,0.36210528,8.1400661,7.077498,75.91956496,8.7131834,10.475716,0.20307517,52.599264,0,0,0,0,2915,0,1,1
2011,450100,11.220639,1,1,4,60,0,0.37514713,7.1527762,7.4241652,77.20186176,8.786459,10.65758,0.18847741,54.600535,0,0,1,0,2894,0,1,1
2012,450100,11.232084,2,1,1,58,0,0.38381135,10.412584,7.9578772,77.29143053,8.7915545,10.788797,0.19519164,56.2997,0,0,0,0,3176,0,1,0
2013,450100,11.301374,3,1,1,50,0,0.38946852,9.4705362,8.3827467,77.55187958,8.8063545,10.647041,0.19329692,57.70022,0,0,1,0,3295,0,1,1
2014,450100,11.318562,3,1,2,51,0,0.39752689,9.3565845,8.8744478,77.76914693,8.8186817,10.735541,0.1965358,58.40059,0,0,0,0,3310,0,1,0
2015,450100,11.337801,2,2,1,54,0,0.27993971,12.107096,9.2465763,76.06744735,8.7216654,10.805897,0.18924198,59.300611,0,1,1,0,3909,0,1,0
2016,450100,11.358878,2,2,2,55,0,0.26100254,13.953384,9.5859642,75.99247346,8.7173662,10.850545,0.19318126,60.199371,0,1,0,0,4853,0,1,1
2017,450100,11.426332,2,2,3,56,0,0.24869484,15.406583,9.5675249,76.46141314,8.7442217,10.892558,0.19330353,61.300379,0,1,0,0,6188,0,1,0
2018,450100,11.480791,2,2,4,57,0,0.23913029,16.686382,9.2900753,76.79544266,8.7633009,10.951507,0.19248942,62.400573,0,1,0,0,6625,0,1,1
2019,450100,11.534217,2,2,5,58,0,0.23187794,17.971498,9.4962711,77.08147976,8.7796059,10.997118,0.19828047,63.699488,0,1,0,0,7175,0,1,1
2000,450200,10.442977,1,1,1,46,0,0.42637938,6.6539454,5.6094718,87.78340584,9.3692799,8.2514114,0.27559373,43.881582,0,0,1,0,,,0,0
2001,450200,10.39627,1,1,2,47,0,0.42244783,6.2194118,5.2149358,87.79600423,9.3699522,8.2705793,0.30420497,45.199358,0,0,0,0,,0,0,0
2002,450200,10.489003,1,1,3,48,0,0.43069637,7.0539761,5.5834961,87.14729958,9.3352718,8.5427151,0.27517602,46.517134,0,0,0,0,,0,0,1
2003,450200,10.606198,0,2,1,57,0,0.46665928,6.5134058,5.655992,76.32719582,8.7365437,8.7971582,0.26236978,47.83491,0,0,1,0,,0,0,1
2004,450200,10.629551,0,2,2,58,0,0.5128054,11.141348,5.4553213,77.28180407,8.791007,8.9189177,0.25256535,49.152686,0,0,0,0,,0,0,0
2005,450200,10.763455,0,2,3,59,0,0.51974607,10.97027,5.6970935,77.56523411,8.8071127,8.9864845,0.23530565,50.493574,0,0,0,0,,0,0,1
2006,450200,10.822935,2,1,1,55,0,0.55563277,12.705008,5.8749309,78.32304693,8.8500309,9.0006695,0.24079257,51.766642,0,0,1,0,3306,0,1,1
2007,450200,10.85708,2,1,2,56,0,0.57994497,12.876244,6.089045,79.10016582,8.8938274,9.2653465,0.22742303,52.65008,0,0,0,0,3404,0,0,0
2008,450200,10.884473,2,1,1,49,0,0.6064114,15.294991,6.3099184,79.879657,8.937542,9.4882545,0.22207996,52.978354,0,0,1,0,3404,0,0,0
2009,450200,10.980162,2,1,2,50,0,0.60841042,10.958633,6.5482192,79.63479363,8.9238329,9.7975883,0.22503656,54.003182,0,0,0,0,3588,0,1,0
2010,450200,11.003955,2,1,3,51,0,0.6386013,14.193585,6.6732979,80.86195746,8.9923277,10.038703,0.21479517,55.050948,0,0,0,0,3559,0,1,1
2011,450200,11.100353,2,1,4,52,0,0.63535494,11.103229,6.7867169,82.21585675,9.067296,10.197147,0.20789786,56.589352,0,0,0,0,3309,0,1,1
2012,450200,11.08268,2,1,5,53,0,0.63020492,10.745107,7.5126176,82.93901905,9.1070862,10.343075,0.21169968,58.240523,0,0,0,0,3282,0,1,1
2013,450200,11.171589,2,1,1,54,0,0.63427424,8.7486334,8.3675327,83.00649989,9.1107903,10.17627,0.20915128,59.530602,0,0,1,0,3401,0,1,1
2014,450200,11.206538,2,1,2,55,0,0.59431088,6.2845259,8.6835546,82.96431136,9.1084747,10.239556,0.20740922,61.06008,0,0,0,0,3701,0,1,0
2015,450200,11.139567,2,1,3,56,0,0.56560534,6.2900672,9.007122,82.2510906,9.0692387,10.309943,0.21016203,62.110281,0,0,0,0,3734,0,1,0
2016,450200,11.160757,2,1,4,57,0,0.54979533,6.2610912,9.2362032,82.13694488,9.0629435,10.355285,0.2120301,63.010584,0,0,0,0,5396,0,1,1
2017,450200,11.214321,2,1,5,58,0,0.53964961,6.0252671,9.0909939,82.78373038,9.0985565,10.429348,0.21459095,64.01,1,0,0,0,6984,0,1,0
2018,450200,11.257577,2,1,6,59,0,0.52679986,5.783165,8.9494953,83.34330233,9.1292553,10.5102,0.2217218,64.740085,1,0,0,0,7095,0,1,1
2019,450200,11.334532,2,1,7,60,0,0.49608052,5.7784657,8.7513161,83.20962699,9.1219311,10.578151,0.24087946,65.419323,1,0,0,0,7214,0,1,0
2000,450300,10.052211,1,2,3,54,0,0.30932182,7.1609416,5.09375,73.23790401,8.5579147,8.7910013,0.10540256,15.25036,0,0,0,0,,,0,0
2001,450300,10.030565,1,2,4,55,0,0.30497056,5.2957296,5.2781148,73.16210393,8.5534849,8.8083086,0.11438921,17.989876,0,0,1,0,,0,0,1
2002,450300,10.14558,3,1,1,45,0,0.31174871,5.4633908,5.556828,72.9495351,8.54105,8.8160677,0.11052179,20.729392,0,0,1,0,,0,0,0
2003,450300,10.328946,1,1,1,51,0,0.35728294,5.5441208,5.5984221,72.65088926,8.5235491,8.8536167,0.22078116,23.468908,0,0,0,0,,0,0,1
2004,450300,10.378482,1,1,2,52,0,0.37182608,6.3932142,5.8141303,73.15101049,8.5528364,9.0102892,0.20859914,26.208424,0,0,0,0,,0,0,0
2005,450300,10.551157,1,1,3,53,0,0.36519539,6.9593515,6.0088134,72.80697782,8.5327005,9.185895,0.205204,28.960566,0,0,0,0,,0,0,1
2006,450300,10.617562,1,1,4,54,0,0.39432192,7.6610017,6.2363696,73.27770543,8.5602398,9.3428202,0.20428801,31.663951,0,0,0,0,1163,0,0,1
2007,450300,10.615743,2,1,1,53,0,0.40158275,7.9945054,6.6720328,74.08065213,8.6070118,9.639843,0.20659177,34.195271,0,0,1,0,1234,0,0,1
2008,450300,10.632743,2,1,2,54,0,0.41975003,8.1105833,6.7592554,74.66045051,8.6406279,9.7055864,0.21517539,36.483607,0,0,1,0,1015,0,0,1
2009,450300,10.744889,3,1,1,53,0,0.43449381,5.299922,6.6267176,74.17267932,8.6123562,9.8814392,0.20685832,37.603516,0,0,0,0,1347,0,0,1
2010,450300,10.849319,3,1,2,54,0,0.44614998,5.4173021,6.7719355,74.31396678,8.6205549,10.072772,0.21026999,38.759478,0,0,0,0,1202,0,0,0
2011,450300,10.980525,3,1,3,55,0,0.46331704,4.5399809,7.1770186,75.48765336,8.6883631,10.188623,0.21256369,40.49081,0,0,0,0,1168,0,1,0
2012,450300,11.018312,3,1,4,56,0,0.46966624,4.1262341,7.6143122,75.28675585,8.6767941,10.314107,0.20190994,42.789833,0,0,0,0,1240,0,1,0
